79,225,210,354,0.77,Ball
76,233,214,370,0.81,Ball
92,240,229,385,0.58,Ball
73,269,216,433,0.49,Ball
21,279,226,472,0.43,Ball
38,291,205,475,0.73,Ball
45,294,204,466,0.79,Ball
38,300,203,475,0.70,Ball
39,307,201,471,0.77,Ball
39,307,201,468,0.77,Ball
40,307,201,468,0.76,Ball
40,306,201,467,0.76,Ball
42,301,197,471,0.71,Ball
43,301,197,472,0.70,Ball
38,306,201,469,0.73,Ball
25,301,189,469,0.68,Ball
80,230,247,378,0.59,Ball
67,185,244,338,0.76,Ball
43,183,228,338,0.70,Ball
34,177,210,323,0.26,Ball
120,184,261,324,0.42,Ball
142,184,277,317,0.33,Ball
139,183,280,316,0.40,phone
185,190,301,326,0.64,Ball
216,191,398,364,0.33,Ball
234,228,370,352,0.76,Ball
227,226,363,373,0.50,Ball
222,225,356,365,0.45,Ball
226,213,358,372,0.27,Ball
232,123,433,372,0.49,Ball
233,131,436,371,0.46,Ball
234,148,426,381,0.40,Ball
245,208,386,355,0.64,Ball
243,186,399,371,0.37,Ball
248,210,388,353,0.67,Ball
251,210,391,349,0.68,Ball
253,207,396,347,0.79,Ball
252,206,399,345,0.70,Ball
256,202,391,359,0.59,Ball
252,210,397,348,0.69,Ball
255,204,393,356,0.57,Ball
254,193,404,360,0.41,Ball
253,187,406,365,0.33,Ball
244,177,419,372,0.29,Ball
241,135,438,398,0.26,Ball
242,133,437,402,0.26,Ball
247,174,419,379,0.42,Ball
474,0,639,459,0.28,phone
474,0,639,480,0.49,Pen
0,288,140,403,0.69,Ball
69,239,199,364,0.66,Ball
414,238,553,379,0.67,Ball
100,209,233,329,0.86,Ball
108,211,244,331,0.86,Ball
106,198,240,318,0.84,Ball
118,190,252,311,0.83,Ball
443,223,564,343,0.44,Ball
128,188,259,308,0.82,Ball
132,188,259,303,0.87,Ball
139,200,261,311,0.83,Ball
145,211,259,317,0.87,Ball
143,213,257,325,0.87,Ball
142,217,256,327,0.86,Ball
142,218,256,328,0.87,Ball
138,220,254,331,0.87,Ball
138,220,258,334,0.85,Ball
135,224,256,339,0.83,Ball
132,226,251,339,0.85,Ball
132,229,250,341,0.83,Ball
131,228,249,342,0.84,Ball
128,228,243,340,0.86,Ball
126,230,243,342,0.85,Ball
125,229,243,342,0.85,Ball
123,227,239,339,0.84,Ball
419,235,533,359,0.27,Ball
123,228,239,341,0.85,Ball
414,230,525,349,0.55,Ball
117,234,236,346,0.85,Ball
402,222,518,340,0.70,Ball
102,240,222,358,0.87,Ball
403,220,518,336,0.64,Ball
45,271,181,395,0.78,Ball
404,220,519,335,0.69,Ball
30,272,170,395,0.86,Ball
148,455,187,480,0.27,Ball
406,221,521,338,0.53,Ball
34,274,175,392,0.89,Ball
407,222,521,341,0.61,Ball
36,274,176,393,0.89,Ball
409,221,524,338,0.68,Ball
34,275,174,392,0.89,Ball
415,220,529,338,0.68,Ball
34,274,174,392,0.89,Ball
415,220,527,336,0.57,Ball
33,274,173,391,0.88,Ball
413,220,529,337,0.66,Ball
33,273,173,392,0.88,Ball
416,221,532,338,0.47,Ball
32,272,172,391,0.89,Ball
417,222,529,338,0.48,Ball
33,274,172,392,0.89,Ball
419,223,532,340,0.58,Ball
36,274,173,394,0.89,Ball
418,226,530,340,0.55,Ball
